air_temp_set_1,relative_humidity_set_1,dew_point_temperature_set_1d,road_temp_set_1,wind_speed_set_1,label
-9.0,79.73333333,-11.90266667,-4.526666667,3.371333333,Snow
-9.0,78.73333333,-12.06266667,-3.006666667,1.946,Snow
-8.266666667,79.53333333,-11.216,-2.02,2.074666667,Snow
-8.0,80.33333333,-10.82666667,-1.463636364,3.482,Snow
-7.8,79.2,-10.814,-2.18,3.628666667,Snow
-7.0,77.6,-10.298,-1.846666667,2.331333333,Snow
-7.0,76.46666667,-10.48466667,-1.64,3.111333333,Snow
-7.8,78.86666667,-10.86733333,-3.166666667,2.854666667,Snow
-7.6,78.13333333,-10.79266667,-4.466666667,2.278,Snow
-7.0,74.93333333,-10.74133333,-4.993333333,2.852,Snow
-7.0,73.0,-11.07666667,-5.413333333,3.129333333,Snow
-7.0,73.0,-11.07933333,-5.446666667,3.094666667,Snow
-7.733333333,75.13333333,-11.41866667,-6.493333333,3.425333333,Snow
-8.0,75.86666667,-11.55266667,-7.42,2.481333333,Snow
-8.0,76.33333333,-11.47666667,-7.74,2.145333333,Snow
-8.0,74.8,-11.734,-8.58,2.369333333,Snow
-8.0,76.53333333,-11.444,-9.726666667,2.668,Snow
-8.733333333,77.4,-12.01733333,-10.90666667,2.78,Snow
-9.0,78.06666667,-12.16933333,-11.33333333,2.964,Snow
-9.466666667,80.2,-12.28333333,-11.92666667,2.964,Snow
-9.266666667,80.2,-12.08733333,-11.98666667,2.78,Snow
-9.8,79.66666667,-12.69,-12.45333333,2.945333333,Snow
-9.666666667,76.86666667,-13.008,-13.13333333,4.331333333,Snow
-9.866666667,74.6,-13.57533333,-13.44,7.722,Snow
-9.866666667,71.8,-14.05066667,-13.6,9.054666667,Snow
-9.6,70.6,-14.004,-13.67333333,10.998,Snow
-9.933333333,70.8,-14.28866667,-13.96,10.648,Snow
-10.0,71.33333333,-14.25933333,-14.1,10.908,Snow
-10.0,71.4,-14.248,-14.16666667,11.81533333,Snow
-10.0,70.46666667,-14.41266667,-14.1,13.704,Snow
-10.0,68.33333333,-14.79,-13.99333333,14.964,Snow
-10.0,69.06666667,-14.658,-14.20666667,14.39066667,Snow
-10.0,68.85714286,-14.69571429,-14.44666667,14.41066667,Snow
-10.0,69.0,-14.67,-14.6,14.70533333,Snow
-10.0,70.0,-14.49133333,-14.39333333,15.72466667,Snow
-10.0,69.8,-14.526,-14.4,16.20466667,Snow
-10.0,69.13333333,-14.646,-14.36,16.22466667,Snow
-10.0,68.13333333,-14.826,-14.14666667,16.39,Snow
-10.0,67.8,-14.886,-14.38,17.22333333,Snow
-10.0,68.33333333,-14.79,-14.68666667,16.87266667,Snow
-10.73333333,69.06666667,-15.362,-14.96666667,16.83466667,Snow
-10.93333333,69.66666667,-15.446,-14.73333333,16.64866667,Snow
-10.66666667,69.53333333,-15.214,-14.28666667,15.83666667,Snow
-10.66666667,70.2,-15.096,-14.00666667,15.48266667,Snow
-10.0,70.2,-14.456,-13.04666667,16.022,Snow
-10.0,69.73333333,-14.538,-11.90666667,15.46466667,Snow
